dataset,fragment,events,generator,time per event,size per event,match efficiency,filter efficiency
BToPhi-0p25_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p25_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,13.846639855072464,562.6242,1.0,0.138
BToPhi-0p25_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p25_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,10.24673188405797,561.2633,1.0,0.138
BToPhi-0p25_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p25_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,5.5957528985507246,562.5522,1.0,0.138
BToPhi-0p25_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p25_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,11.380549275362318,558.8317,1.0,0.138
BToPhi-0p25_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p25_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,8.955553623188406,559.8408,1.0,0.138
BToPhi-0p3_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p3_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,8.677667716535433,583.9001,1.0,0.127
BToPhi-0p3_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p3_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,11.04754842519685,583.8856,1.0,0.127
BToPhi-0p3_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p3_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,9.121859448818897,579.4832,1.0,0.127
BToPhi-0p3_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p3_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,11.535363385826772,584.2097,1.0,0.127
BToPhi-0p3_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p3_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,10.2290937007874,582.6681,1.0,0.127
BToPhi-0p4_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p4_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,10.677770454545453,515.4362,1.0,0.088
BToPhi-0p4_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p4_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,8.96093409090909,516.4428,1.0,0.088
BToPhi-0p4_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p4_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,8.761097727272727,516.2345,1.0,0.088
BToPhi-0p4_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p4_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,11.247645454545454,516.2287,1.0,0.088
BToPhi-0p4_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi-0p4_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8,9.414863636363636,514.4076,1.0,0.088
