dataset,fragment,events,generator,gridpack,time per event,size per event,match efficiency,filter efficiency
HTo2ZdTo2mu2x_MZd-0p5_ctau-1mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-0p5_ctau-1mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_0p5_ctau_1_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,8.325451291079812,609.4573,1.0,0.6816
HTo2ZdTo2mu2x_MZd-0p5_ctau-10mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-0p5_ctau-10mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_0p5_ctau_10_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,12.557677443609023,605.8138,1.0,0.665
HTo2ZdTo2mu2x_MZd-0p7_ctau-1mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-0p7_ctau-1mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_0p7_ctau_1_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,9.771488461538462,631.99,1.0,0.26
HTo2ZdTo2mu2x_MZd-0p7_ctau-10mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-0p7_ctau-10mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_0p7_ctau_10_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,2.0782815401621226,634.4378,1.0,0.2714
HTo2ZdTo2mu2x_MZd-1p5_ctau-1mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-1p5_ctau-1mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_1p5_ctau_1_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,10.360492674805773,631.0215,1.0,0.3604
HTo2ZdTo2mu2x_MZd-1p5_ctau-10mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-1p5_ctau-10mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_1p5_ctau_10_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,11.715818623148657,611.5409,1.0,0.3646
HTo2ZdTo2mu2x_MZd-1p5_ctau-100mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-1p5_ctau-100mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_1p5_ctau_100_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,9.73948148148148,612.9864,1.0,0.3564
HTo2ZdTo2mu2x_MZd-2p0_ctau-1mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-2p0_ctau-1mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_2p0_ctau_1_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,10.164817718047175,635.936,1.0,0.3646
HTo2ZdTo2mu2x_MZd-2p0_ctau-10mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-2p0_ctau-10mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_2p0_ctau_10_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,10.711469012899608,619.7469,1.0,0.3566
HTo2ZdTo2mu2x_MZd-2p0_ctau-100mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-2p0_ctau-100mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_2p0_ctau_100_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,9.650682195521572,614.5678,1.0,0.3662
