dataset,fragment,events,generator
BToPhi_MPhi-0p25_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p25_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p25_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p25_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p25_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p25_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p25_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p25_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p25_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p25_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p3_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p3_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p3_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p3_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p3_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p3_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p3_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p3_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p3_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p3_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p4_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p4_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p4_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p4_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p4_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p4_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p4_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p4_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p4_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p4_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p5_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p5_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p5_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p5_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p5_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p5_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p5_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p5_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p5_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p5_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p6_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p6_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p6_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p6_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p6_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p6_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p6_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p6_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p6_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p6_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
