mZd (GeV)	Epsilon		GammaZd (GeV)		ctau (mm)
0.36		1.011e-05		1.97330e-13		1
0.36		3.198e-06		1.97330e-14		10
0.36		1.011e-06		1.97330e-15		100
0.5		7.841e-06		1.97330e-13		1
0.5		2.479e-06		1.97330e-14		10
0.5		7.841e-07		1.97330e-15		100
0.7		4.005e-06		1.97330e-13		1
0.7		1.267e-06		1.97330e-14		10
0.7		4.005e-07		1.97330e-15		100
1.0		4.801e-06		1.97330e-13		1
1.0		1.518e-06		1.97330e-14		10
1.0		4.801e-07		1.97330e-15		100
1.5		3.448e-06		1.97330e-13		1
1.5		1.090e-06		1.97330e-14		10
1.5		3.448e-07		1.97330e-15		100
2.0		3.009e-06		1.97330e-13		1
2.0		9.514e-07		1.97330e-14		10
2.0		3.009e-07		1.97330e-15		100
2.5		2.627e-06		1.97330e-13		1
2.5		8.306e-07		1.97330e-14		10
2.5		2.627e-07		1.97330e-15		100
3.0		2.449e-06		1.97330e-13		1
3.0		7.745e-07		1.97330e-14		10
3.0		2.449e-07		1.97330e-15		100
4.0		1.805e-06		1.97330e-13		1
4.0		5.706e-07		1.97330e-14		10
4.0		1.805e-07		1.97330e-15		100
5.0		1.544e-06		1.97330e-13		1
5.0		4.882e-07		1.97330e-14		10
5.0		1.544e-07		1.97330e-15		100
6.0		1.405e-06		1.97330e-13		1
6.0		4.444e-07		1.97330e-14		10
6.0		1.405e-07		1.97330e-15		100
7.0		1.272e-06		1.97330e-13		1
7.0		4.022e-07		1.97330e-14		10
7.0		1.272e-07		1.97330e-15		100
8.0		1.191e-06		1.97330e-13		1
8.0		3.768e-07		1.97330e-14		10
8.0		1.191e-07		1.97330e-15		100
10.0		1.065e-06		1.97330e-13		1
10.0		3.368e-07		1.97330e-14		10
10.0		1.065e-07		1.97330e-15		100
12.0		9.536e-07		1.97330e-13		1
12.0		3.016e-07		1.97330e-14		10
12.0		9.536e-08		1.97330e-15		100
14.0		8.832e-07		1.97330e-13		1
14.0		2.793e-07		1.97330e-14		10
14.0		8.832e-08		1.97330e-15		100
16.0		8.249e-07		1.97330e-13		1
16.0		2.609e-07		1.97330e-14		10
16.0		8.249e-08		1.97330e-15		100
18.0		7.768e-07		1.97330e-13		1
18.0		2.457e-07		1.97330e-14		10
18.0		7.768e-08		1.97330e-15		100
20.0		7.353e-07		1.97330e-13		1
20.0		2.325e-07		1.97330e-14		10
20.0		7.353e-08		1.97330e-15		100
22.0		6.998e-07		1.97330e-13		1
22.0		2.213e-07		1.97330e-14		10
22.0		6.998e-08		1.97330e-15		100
24.0		6.682e-07		1.97330e-13		1
24.0		2.113e-07		1.97330e-14		10
24.0		6.682e-08		1.97330e-15		100
26.0		6.398e-07		1.97330e-13		1
26.0		2.023e-07		1.97330e-14		10
26.0		6.398e-08		1.97330e-15		100
28.0		6.148e-07		1.97330e-13		1
28.0		1.944e-07		1.97330e-14		10
28.0		6.148e-08		1.97330e-15		100
30.0		5.915e-07		1.97330e-13		1
30.0		1.870e-07		1.97330e-14		10
30.0		5.915e-08		1.97330e-15		100
32.0		5.702e-07		1.97330e-13		1
32.0		1.803e-07		1.97330e-14		10
32.0		5.702e-08		1.97330e-15		100
34.0		5.506e-07		1.97330e-13		1
34.0		1.741e-07		1.97330e-14		10
34.0		5.506e-08		1.97330e-15		100
38.0		5.143e-07		1.97330e-13		1
38.0		1.626e-07		1.97330e-14		10
38.0		5.143e-08		1.97330e-15		100
42.0		4.815e-07		1.97330e-13		1
42.0		1.523e-07		1.97330e-14		10
42.0		4.815e-08		1.97330e-15		100
46.0		4.506e-07		1.97330e-13		1
46.0		1.425e-07		1.97330e-14		10
46.0		4.506e-08		1.97330e-15		100
50.0		4.197e-07		1.97330e-13		1
50.0		1.327e-07		1.97330e-14		10
50.0		4.197e-08		1.97330e-15		100
