mZd	ctau	XS_MUMU	XS_EE	XS_TAUTAU	XS_UUBAR	XS_DDBAR	XS_SSBAR	XS_CCBAR	XS_BBBAR	XS_MUNUMUNUBAR	XS_ENUENUBAR	XS_TAUNUTAUNUBAR
0.36	1	9.1330e-14	9.6240e-14	0.0000e+00	1.2832e-13	3.2080e-14	3.2080e-14	0.0000e+00	0.0000e+00	4.4797e-24	4.4797e-24	4.4797e-24
0.36	10	9.1383e-15	9.6297e-15	0.0000e+00	1.2839e-14	3.2098e-15	3.2098e-15	0.0000e+00	0.0000e+00	1.3033e-25	1.3033e-25	1.3033e-25
0.36	100	9.1330e-16	9.6241e-16	0.0000e+00	1.2833e-15	3.2085e-16	3.2085e-16	0.0000e+00	0.0000e+00	3.8980e-24	3.8980e-24	3.8980e-24
0.5	1	7.9375e-14	8.0400e-14	0.0000e+00	1.0720e-13	2.6802e-14	2.6802e-14	0.0000e+00	0.0000e+00	1.8803e-23	1.8803e-23	1.8803e-23
0.5	10	7.9340e-15	8.0368e-15	0.0000e+00	1.0716e-14	2.6789e-15	2.6789e-15	0.0000e+00	0.0000e+00	9.2687e-25	9.2687e-25	9.2687e-25
0.5	100	7.9374e-16	8.0400e-16	0.0000e+00	1.0720e-15	2.6799e-16	2.6799e-16	0.0000e+00	0.0000e+00	2.1087e-25	2.1087e-25	2.1087e-25
0.7	1	2.9272e-14	2.9367e-14	0.0000e+00	3.9156e-14	9.7895e-15	9.7895e-15	0.0000e+00	0.0000e+00	2.6611e-23	2.6611e-23	2.6611e-23
0.7	10	2.9296e-15	2.9390e-15	0.0000e+00	3.9189e-15	9.7985e-16	9.7985e-16	0.0000e+00	0.0000e+00	1.0738e-23	1.0738e-23	1.0738e-23
0.7	100	2.9271e-16	2.9365e-16	0.0000e+00	3.9144e-16	9.7785e-17	9.7785e-17	0.0000e+00	0.0000e+00	3.4537e-23	3.4537e-23	3.4537e-23
10.0	1	2.9692e-14	2.9692e-14	2.9506e-14	3.9745e-14	1.0054e-14	1.0054e-14	3.9645e-14	4.9452e-15	9.1567e-19	9.1567e-19	9.1567e-19
10.0	10	2.9698e-15	2.9699e-15	2.9512e-15	3.9772e-15	1.0075e-15	1.0075e-15	3.9672e-15	4.9553e-16	1.1428e-19	1.1428e-19	1.1428e-19
10.0	100	2.9680e-16	2.9680e-16	2.9494e-16	3.9662e-16	9.9820e-17	9.9820e-17	3.9562e-16	4.9100e-17	2.9449e-21	2.9449e-21	2.9449e-21
12.0	1	2.8577e-14	2.8577e-14	2.8492e-14	3.8319e-14	9.7435e-15	9.7435e-15	3.8273e-14	7.9129e-15	1.8100e-18	1.8100e-18	1.8100e-18
12.0	10	2.8585e-15	2.8585e-15	2.8500e-15	3.8326e-15	9.7425e-16	9.7425e-16	3.8280e-15	7.9124e-16	1.7481e-19	1.7481e-19	1.7481e-19
12.0	100	2.8585e-16	2.8587e-16	2.8501e-16	3.8384e-16	9.8010e-17	9.8010e-17	3.8338e-16	7.9590e-17	2.7967e-20	2.7967e-20	2.7967e-20
14.0	1	2.8614e-14	2.8613e-14	2.8567e-14	3.8450e-14	9.8405e-15	9.8405e-15	3.8425e-14	8.9334e-15	3.4420e-18	3.4420e-18	3.4420e-18
14.0	10	2.8617e-15	2.8617e-15	2.8570e-15	3.8463e-15	9.8500e-16	9.8500e-16	3.8438e-15	8.9421e-16	3.6413e-19	3.6413e-19	3.6413e-19
14.0	100	2.8599e-16	2.8600e-16	2.8553e-16	3.8347e-16	9.7500e-17	9.7500e-17	3.8323e-16	8.8525e-17	1.7971e-20	1.7971e-20	1.7971e-20
16.0	1	2.8544e-14	2.8544e-14	2.8516e-14	3.8452e-14	9.9140e-15	9.9140e-15	3.8437e-14	9.4037e-15	5.9473e-18	5.9473e-18	5.9473e-18
16.0	10	2.8548e-15	2.8547e-15	2.8521e-15	3.8428e-15	9.8860e-16	9.8860e-16	3.8414e-15	9.3771e-16	5.1070e-19	5.1070e-19	5.1070e-19
16.0	100	2.8591e-16	2.8591e-16	2.8562e-16	3.8780e-16	1.0205e-16	1.0205e-16	3.8764e-16	9.6734e-17	1.6255e-19	1.6255e-19	1.6255e-19
18.0	1	2.8495e-14	2.8495e-14	2.8478e-14	3.8494e-14	1.0009e-14	1.0009e-14	3.8485e-14	9.6947e-15	9.5530e-18	9.5530e-18	9.5530e-18
18.0	10	2.8504e-15	2.8504e-15	2.8487e-15	3.8489e-15	9.9940e-16	9.9940e-16	3.8480e-15	9.6804e-16	8.8957e-19	8.8957e-19	8.8957e-19
18.0	100	2.8464e-16	2.8465e-16	2.8447e-16	3.8279e-16	9.8190e-17	9.8190e-17	3.8270e-16	9.5138e-17	4.1370e-20	4.1370e-20	4.1370e-20
1.0	1	6.0241e-14	6.0285e-14	0.0000e+00	8.0384e-14	2.0097e-14	2.0097e-14	0.0000e+00	0.0000e+00	1.5146e-22	1.5146e-22	1.5146e-22
1.0	10	6.0224e-15	6.0269e-15	0.0000e+00	8.0361e-15	2.0091e-15	2.0091e-15	0.0000e+00	0.0000e+00	7.1037e-24	7.1037e-24	7.1037e-24
1.0	100	6.0241e-16	6.0286e-16	0.0000e+00	8.0387e-16	2.0100e-16	2.0100e-16	0.0000e+00	0.0000e+00	5.9990e-24	5.9990e-24	5.9990e-24
1.5	1	4.6636e-14	4.6643e-14	0.0000e+00	6.2196e-14	1.5552e-14	1.5552e-14	0.0000e+00	0.0000e+00	7.5110e-22	7.5110e-22	7.5110e-22
1.5	10	4.6605e-15	4.6612e-15	0.0000e+00	6.2150e-15	1.5538e-15	1.5538e-15	0.0000e+00	0.0000e+00	2.2159e-24	2.2159e-24	2.2159e-24
1.5	100	4.6634e-16	4.6641e-16	0.0000e+00	6.2182e-16	1.5541e-16	1.5541e-16	0.0000e+00	0.0000e+00	7.2590e-24	7.2590e-24	7.2590e-24
20.0	1	2.8391e-14	2.8392e-14	2.8380e-14	3.8483e-14	1.0106e-14	1.0106e-14	3.8476e-14	9.8985e-15	1.4879e-17	1.4879e-17	1.4879e-17
20.0	10	2.8391e-15	2.8392e-15	2.8380e-15	3.8512e-15	1.0137e-15	1.0137e-15	3.8506e-15	9.9292e-16	1.6294e-18	1.6294e-18	1.6294e-18
20.0	100	2.8364e-16	2.8364e-16	2.8352e-16	3.8291e-16	9.9360e-17	9.9360e-17	3.8285e-16	9.7352e-17	8.5653e-20	8.5653e-20	8.5653e-20
22.0	1	2.8314e-14	2.8314e-14	2.8306e-14	3.8521e-14	1.0229e-14	1.0229e-14	3.8516e-14	1.0084e-14	2.2173e-17	2.2173e-17	2.2173e-17
22.0	10	2.8309e-15	2.8310e-15	2.8301e-15	3.8484e-15	1.0195e-15	1.0195e-15	3.8479e-15	1.0051e-15	2.0477e-18	2.0477e-18	2.0477e-18
22.0	100	2.8328e-16	2.8328e-16	2.8320e-16	3.8611e-16	1.0309e-16	1.0309e-16	3.8605e-16	1.0161e-16	2.6328e-19	2.6328e-19	2.6328e-19
24.0	1	2.8192e-14	2.8192e-14	2.8186e-14	3.8516e-14	1.0356e-14	1.0356e-14	3.8513e-14	1.0250e-14	3.1993e-17	3.1993e-17	3.1993e-17
24.0	10	2.8193e-15	2.8193e-15	2.8188e-15	3.8529e-15	1.0369e-15	1.0369e-15	3.8527e-15	1.0262e-15	3.2773e-18	3.2773e-18	3.2773e-18
