mZd (GeV)	Epsilon		GammaZd (GeV)		ctau (mm)
0.7		1e-08		1.23000e-18		160430.894
0.7		2e-08		4.92000e-18		40107.724
0.7		3e-08		1.10700e-17		17825.655
0.7		4e-08		1.96800e-17		10026.931
0.7		5e-08		3.07500e-17		6417.236
0.7		6e-08		4.42800e-17		4456.414
0.7		7e-08		6.02700e-17		3274.100
0.7		8e-08		7.87200e-17		2506.733
0.7		9e-08		9.96300e-17		1980.628
0.7		1e-07		1.23000e-16		1604.309
0.7		2e-07		4.92000e-16		401.077
0.7		3e-07		1.10700e-15		178.257
0.7		4e-07		1.96800e-15		100.269
0.7		5e-07		3.07500e-15		64.172
0.7		6e-07		4.42800e-15		44.564
0.7		7e-07		6.02700e-15		32.741
0.7		8e-07		7.87200e-15		25.067
0.7		9e-07		9.96300e-15		19.806
0.7		1e-06		1.23000e-14		16.043
0.7		2e-06		4.92000e-14		4.011
0.7		3e-06		1.10700e-13		1.783
0.7		4e-06		1.96800e-13		1.003
0.7		5e-06		3.07500e-13		0.642
0.7		6e-06		4.42800e-13		0.446
0.7		7e-06		6.02700e-13		0.327
0.7		8e-06		7.87200e-13		0.251
0.7		9e-06		9.96300e-13		0.198
1		1e-08		8.56000e-19		230525.701
1		2e-08		3.42400e-18		57631.425
1		3e-08		7.70400e-18		25613.967
1		4e-08		1.36960e-17		14407.856
1		5e-08		2.14000e-17		9221.028
1		6e-08		3.08160e-17		6403.492
1		7e-08		4.19440e-17		4704.606
1		8e-08		5.47840e-17		3601.964
1		9e-08		6.93360e-17		2845.996
1		1e-07		8.56000e-17		2305.257
1		2e-07		3.42400e-16		576.314
1		3e-07		7.70400e-16		256.140
1		4e-07		1.36960e-15		144.079
1		5e-07		2.14000e-15		92.210
1		6e-07		3.08160e-15		64.035
1		7e-07		4.19440e-15		47.046
1		8e-07		5.47840e-15		36.020
1		9e-07		6.93360e-15		28.460
1		1e-06		8.56000e-15		23.053
1		2e-06		3.42400e-14		5.763
1		3e-06		7.70400e-14		2.561
1		4e-06		1.36960e-13		1.441
1		5e-06		2.14000e-13		0.922
1		6e-06		3.08160e-13		0.640
1		7e-06		4.19440e-13		0.470
1		8e-06		5.47840e-13		0.360
1		9e-06		6.93360e-13		0.285
2		1e-08		2.18000e-18		90518.349
2		2e-08		8.72000e-18		22629.587
2		3e-08		1.96200e-17		10057.594
2		4e-08		3.48800e-17		5657.397
2		5e-08		5.45000e-17		3620.734
2		6e-08		7.84800e-17		2514.399
2		7e-08		1.06820e-16		1847.313
2		8e-08		1.39520e-16		1414.349
2		9e-08		1.76580e-16		1117.510
2		1e-07		2.18000e-16		905.183
2		2e-07		8.72000e-16		226.296
2		3e-07		1.96200e-15		100.576
2		4e-07		3.48800e-15		56.574
2		5e-07		5.45000e-15		36.207
2		6e-07		7.84800e-15		25.144
2		7e-07		1.06820e-14		18.473
2		8e-07		1.39520e-14		14.143
2		9e-07		1.76580e-14		11.175
2		1e-06		2.18000e-14		9.052
2		2e-06		8.72000e-14		2.263
2		3e-06		1.96200e-13		1.006
2		4e-06		3.48800e-13		0.566
2		5e-06		5.45000e-13		0.362
2		6e-06		7.84800e-13		0.251
2		7e-06		1.06820e-12		0.185
